,Cluster No,Day,Time,Date,Month,Year,Previous_price,Demand_(MW),CCGT_Gen,Oil_Gen,Coal_Gen,Nuclear_Gen,Wind_Gen,NPS_Hydro_Gen,Solar_Gen
01/02/2017_00:00,,3,0,1,2,2017,43.96,31279,12168,0,7869,7443,2396,314,0
01/02/2017_01:00,,3,1,1,2,2017,42.06,31325,11232,0,7962,7448,2581,277,0
01/02/2017_02:00,,3,2,1,2,2017,40.86,30412,9868,0,7313,7449,2829,305,0
01/02/2017_03:00,,3,3,1,2,2017,38,29794,9437,0,6848,7451,2998,301,0
01/02/2017_04:00,,3,4,1,2,2017,37.99,29057,9774,0,7281,7453,3087,344,0
01/02/2017_05:00,,3,5,1,2,2017,41.45,29642,10093,0,7426,7451,3219,368,0
01/02/2017_06:00,,3,6,1,2,2017,48.73,33929,12418,0,8278,7453,3373,369,0
01/02/2017_07:00,,3,7,1,2,2017,47.53,41468,17941,0,8947,7447,3787,465,0
01/02/2017_08:00,,3,8,1,2,2017,50.54,43785,20318,0,8728,7448,4038,468,48
01/02/2017_09:00,,3,9,1,2,2017,53.72,44652,20579,0,8240,7450,4341,533,289
01/02/2017_10:00,,3,10,1,2,2017,54.88,44888,20115,0,8190,7448,4648,559,616
01/02/2017_11:00,,3,11,1,2,2017,51.99,45053,20009,0,8187,7451,5269,448,987
01/02/2017_12:00,,3,12,1,2,2017,48.05,44865,20129,0,8174,7451,5556,438,1290
01/02/2017_13:00,,3,13,1,2,2017,47.57,44365,18839,0,8132,7448,6050,361,1380
01/02/2017_14:00,,3,14,1,2,2017,47.27,44137,18401,0,7808,7448,6502,356,1250
01/02/2017_15:00,,3,15,1,2,2017,56.46,43362,17170,0,7524,7452,7180,509,715
01/02/2017_16:00,,3,16,1,2,2017,62.99,44634,17188,0,7723,7449,7488,602,224
01/02/2017_17:00,,3,17,1,2,2017,122.37,48308,20346,0,7954,7439,7796,749,0
01/02/2017_18:00,,3,18,1,2,2017,80.01,48177,20048,0,8411,7444,8395,780,0
01/02/2017_19:00,,3,19,1,2,2017,59.95,46365,18971,0,7824,7445,8708,618,0
01/02/2017_20:00,,3,20,1,2,2017,54.33,43537,15656,0,7705,7450,8534,572,0
01/02/2017_21:00,,3,21,1,2,2017,49.83,39735,12499,0,6489,7448,8795,479,0
01/02/2017_22:00,,3,22,1,2,2017,43.59,35339,8562,0,5941,7451,8453,430,0
01/02/2017_23:00,,3,23,1,2,2017,42.55,31424,5796,0,5210,7445,8389,312,0
02/02/2017_00:00,,4,0,2,2,2017,42.15,30115,5218,0,5197,7445,8291,265,0
02/02/2017_01:00,,4,1,2,2,2017,41.54,29935,5352,0,5497,7443,8173,230,0
02/02/2017_02:00,,4,2,2,2,2017,39.43,29006,5295,0,4855,7448,8252,266,0
02/02/2017_03:00,,4,3,2,2,2017,36.86,28265,5084,0,4433,7445,8505,262,0
02/02/2017_04:00,,4,4,2,2,2017,37.54,27485,4689,0,3860,7452,8676,267,0
02/02/2017_05:00,,4,5,2,2,2017,41.53,28229,5221,0,3985,7445,8615,348,0
02/02/2017_06:00,,4,6,2,2,2017,48.88,32229,6692,0,4660,7442,8783,355,0
02/02/2017_07:00,,4,7,2,2,2017,50.84,39507,11408,0,5931,7445,9467,500,0
02/02/2017_08:00,,4,8,2,2,2017,53,42076,13601,0,6444,7442,9439,513,138
02/02/2017_09:00,,4,9,2,2,2017,58.96,42825,13617,0,6606,7443,9539,601,477
02/02/2017_10:00,,4,10,2,2,2017,52.96,43056,13232,0,6789,7443,9712,613,840
02/02/2017_11:00,,4,11,2,2,2017,46.57,43441,13511,0,6801,7445,9785,474,927
02/02/2017_12:00,,4,12,2,2,2017,46.51,43887,13951,0,6711,7455,9865,465,918
02/02/2017_13:00,,4,13,2,2,2017,46.08,43394,13532,0,6595,7456,9938,399,1000
02/02/2017_14:00,,4,14,2,2,2017,47.42,42849,13136,0,6610,7446,9975,450,807
02/02/2017_15:00,,4,15,2,2,2017,57.5,42437,12595,0,6904,7445,10057,601,454
02/02/2017_16:00,,4,16,2,2,2017,65.59,43504,13610,0,7067,7453,10241,640,207
02/02/2017_17:00,,4,17,2,2,2017,125,46870,15973,0,7170,7442,10458,841,0
02/02/2017_18:00,,4,18,2,2,2017,77.95,46950,16216,0,7356,7448,10339,811,0
02/02/2017_19:00,,4,19,2,2,2017,59.02,45310,15560,0,7209,7443,10286,711,0
02/02/2017_20:00,,4,20,2,2,2017,52.17,42768,13154,0,6918,7449,10460,699,0
02/02/2017_21:00,,4,21,2,2,2017,47.29,39024,9358,0,6615,7450,10575,516,0
02/02/2017_22:00,,4,22,2,2,2017,41.53,34798,5624,0,6468,7445,10115,477,0
02/02/2017_23:00,,4,23,2,2,2017,43.6,30713,3926,0,4796,7447,9851,424,0
03/02/2017_00:00,,5,0,3,2,2017,44.96,29360,3731,0,5023,7446,9552,326,0
03/02/2017_01:00,,5,1,3,2,2017,43.41,29487,3844,0,5784,7446,9334,313,0
03/02/2017_02:00,,5,2,3,2,2017,40.1,28406,3503,0,5160,7449,9350,308,0
03/02/2017_03:00,,5,3,3,2,2017,38.93,27799,3701,0,4747,7448,9382,309,0
03/02/2017_04:00,,5,4,3,2,2017,38,27261,3907,0,4229,7448,9063,351,0
03/02/2017_05:00,,5,5,3,2,2017,41.91,28169,4139,0,4744,7447,8619,452,0
03/02/2017_06:00,,5,6,3,2,2017,46.69,32552,5861,0,6384,7450,8141,458,0
03/02/2017_07:00,,5,7,3,2,2017,46.67,40293,12277,0,6935,7448,8562,614,0
03/02/2017_08:00,,5,8,3,2,2017,54.98,42691,14399,0,6867,7447,8310,658,354
03/02/2017_09:00,,5,9,3,2,2017,54.47,43625,15211,0,6871,7448,7538,687,1420
03/02/2017_10:00,,5,10,3,2,2017,50.72,43924,14743,0,6855,7446,7774,699,2180
03/02/2017_11:00,,5,11,3,2,2017,47.06,43975,14909,0,6910,7450,7587,615,2310
03/02/2017_12:00,,5,12,3,2,2017,48.34,44041,15654,0,6873,7447,6987,618,2410
03/02/2017_13:00,,5,13,3,2,2017,46.59,42828,15725,0,6882,7453,6116,635,2110
03/02/2017_14:00,,5,14,3,2,2017,46.06,42484,15665,0,6917,7455,6576,636,1200
