date,price_sterling,,
01/01/2018,42.94,23,
01/01/2018,47.14,0,
01/01/2018,54.6,1,
01/01/2018,46.63,2,
01/01/2018,39.9,3,
01/01/2018,23.41,4,
01/01/2018,23.61,5,
01/01/2018,29.96,6,
01/01/2018,24.09,7,
01/01/2018,24.14,8,
01/01/2018,42,9,
01/01/2018,57,10,
01/01/2018,43.4,11,
01/01/2018,51.86,12,
01/01/2018,55,13,
01/01/2018,55,14,
01/01/2018,57.88,15,
01/01/2018,57.97,16,
01/01/2018,75.1,17,
01/01/2018,57.97,18,
01/01/2018,51.49,19,
01/01/2018,55.44,20,
01/01/2018,50.54,21,
01/01/2018,38.46,22,
02/01/2018,33.96,23,
02/01/2018,44.88,0,
02/01/2018,49.95,1,
02/01/2018,46.72,2,
02/01/2018,46.71,3,
02/01/2018,45.82,4,
02/01/2018,45.66,5,
02/01/2018,52,6,
02/01/2018,43.87,7,
02/01/2018,56.15,8,
02/01/2018,61.92,9,
02/01/2018,56.33,10,
02/01/2018,56.15,11,
02/01/2018,55.35,12,
02/01/2018,44.81,13,
02/01/2018,42.74,14,
02/01/2018,44.91,15,
02/01/2018,60,16,
02/01/2018,76.01,17,
02/01/2018,60,18,
02/01/2018,65.35,19,
02/01/2018,60,20,
02/01/2018,48.67,21,
02/01/2018,42,22,
03/01/2018,47.58,23,
03/01/2018,49,0,
03/01/2018,49.06,1,
03/01/2018,45.44,2,
03/01/2018,40.6,3,
03/01/2018,35,4,
03/01/2018,42,5,
03/01/2018,48.99,6,
03/01/2018,44.03,7,
03/01/2018,50.58,8,
03/01/2018,54.99,9,
03/01/2018,48.87,10,
03/01/2018,49,11,
03/01/2018,52.44,12,
03/01/2018,46.12,13,
03/01/2018,49.53,14,
03/01/2018,44.5,15,
03/01/2018,59.92,16,
03/01/2018,77.1,17,
03/01/2018,65.69,18,
03/01/2018,55.22,19,
03/01/2018,51.82,20,
03/01/2018,49.55,21,
03/01/2018,39.43,22,
04/01/2018,42,23,
04/01/2018,42.65,0,
04/01/2018,42.65,1,
04/01/2018,42.61,2,
04/01/2018,44.03,3,
04/01/2018,44.77,4,
04/01/2018,49.24,5,
04/01/2018,53.01,6,
04/01/2018,53.01,7,
04/01/2018,67.03,8,
04/01/2018,72.67,9,
04/01/2018,74.42,10,
04/01/2018,56.89,11,
04/01/2018,50,12,
04/01/2018,44.1,13,
04/01/2018,44.53,14,
04/01/2018,44.53,15,
04/01/2018,64.1,16,
04/01/2018,74.99,17,
04/01/2018,64.69,18,
04/01/2018,52.01,19,
04/01/2018,54.31,20,
04/01/2018,52.1,21,
04/01/2018,43.59,22,
05/01/2018,42.99,23,
05/01/2018,45.9,0,
05/01/2018,45.42,1,
05/01/2018,44.87,2,
05/01/2018,44.87,3,
05/01/2018,42.94,4,
05/01/2018,43.57,5,
