date,hour,CET/CEST time,price_sterling,
01/01/2018,23 - 00,00 - 01,"42,94",
01/01/2018,00 - 01,01 - 02,"47,14",
01/01/2018,01 - 02,02 - 03,"54,60",
01/01/2018,02 - 03,03 - 04,"46,63",
01/01/2018,03 - 04,04 - 05,"39,90",
01/01/2018,04 - 05,05 - 06,"23,41",
01/01/2018,05 - 06,06 - 07,"23,61",
01/01/2018,06 - 07,07 - 08,"29,96",
01/01/2018,07 - 08,08 - 09,"24,09",
01/01/2018,08 - 09,09 - 10,"24,14",
01/01/2018,09 - 10,10 - 11,"42,00",
01/01/2018,10 - 11,11 - 12,"57,00",
01/01/2018,11 - 12,12 - 13,"43,40",
01/01/2018,12 - 13,13 - 14,"51,86",
01/01/2018,13 - 14,14 - 15,"55,00",
01/01/2018,14 - 15,15 - 16,"55,00",
01/01/2018,15 - 16,16 - 17,"57,88",
01/01/2018,16 - 17,17 - 18,"57,97",
01/01/2018,17 - 18,18 - 19,"75,10",
01/01/2018,18 - 19,19 - 20,"57,97",
01/01/2018,19 - 20,20 - 21,"51,49",
01/01/2018,20 - 21,21 - 22,"55,44",
01/01/2018,21 - 22,22 - 23,"50,54",
01/01/2018,22 - 23,23 - 00,"38,46",
02/01/2018,23 - 00,00 - 01,"33,96",
02/01/2018,00 - 01,01 - 02,"44,88",
02/01/2018,01 - 02,02 - 03,"49,95",
02/01/2018,02 - 03,03 - 04,"46,72",
02/01/2018,03 - 04,04 - 05,"46,71",
02/01/2018,04 - 05,05 - 06,"45,82",
02/01/2018,05 - 06,06 - 07,"45,66",
02/01/2018,06 - 07,07 - 08,"52,00",
02/01/2018,07 - 08,08 - 09,"43,87",
02/01/2018,08 - 09,09 - 10,"56,15",
02/01/2018,09 - 10,10 - 11,"61,92",
02/01/2018,10 - 11,11 - 12,"56,33",
02/01/2018,11 - 12,12 - 13,"56,15",
02/01/2018,12 - 13,13 - 14,"55,35",
02/01/2018,13 - 14,14 - 15,"44,81",
02/01/2018,14 - 15,15 - 16,"42,74",
02/01/2018,15 - 16,16 - 17,"44,91",
02/01/2018,16 - 17,17 - 18,"60,00",
02/01/2018,17 - 18,18 - 19,"76,01",
02/01/2018,18 - 19,19 - 20,"60,00",
02/01/2018,19 - 20,20 - 21,"65,35",
02/01/2018,20 - 21,21 - 22,"60,00",
02/01/2018,21 - 22,22 - 23,"48,67",
02/01/2018,22 - 23,23 - 00,"42,00",
03/01/2018,23 - 00,00 - 01,"47,58",
03/01/2018,00 - 01,01 - 02,"49,00",
03/01/2018,01 - 02,02 - 03,"49,06",
03/01/2018,02 - 03,03 - 04,"45,44",
03/01/2018,03 - 04,04 - 05,"40,60",
03/01/2018,04 - 05,05 - 06,"35,00",
03/01/2018,05 - 06,06 - 07,"42,00",
03/01/2018,06 - 07,07 - 08,"48,99",
03/01/2018,07 - 08,08 - 09,"44,03",
03/01/2018,08 - 09,09 - 10,"50,58",
03/01/2018,09 - 10,10 - 11,"54,99",
03/01/2018,10 - 11,11 - 12,"48,87",
03/01/2018,11 - 12,12 - 13,"49,00",
03/01/2018,12 - 13,13 - 14,"52,44",
03/01/2018,13 - 14,14 - 15,"46,12",
03/01/2018,14 - 15,15 - 16,"49,53",
03/01/2018,15 - 16,16 - 17,"44,50",
03/01/2018,16 - 17,17 - 18,"59,92",
03/01/2018,17 - 18,18 - 19,"77,10",
03/01/2018,18 - 19,19 - 20,"65,69",
03/01/2018,19 - 20,20 - 21,"55,22",
03/01/2018,20 - 21,21 - 22,"51,82",
03/01/2018,21 - 22,22 - 23,"49,55",
03/01/2018,22 - 23,23 - 00,"39,43",
04/01/2018,23 - 00,00 - 01,"42,00",
04/01/2018,00 - 01,01 - 02,"42,65",
04/01/2018,01 - 02,02 - 03,"42,65",
04/01/2018,02 - 03,03 - 04,"42,61",
04/01/2018,03 - 04,04 - 05,"44,03",
04/01/2018,04 - 05,05 - 06,"44,77",
04/01/2018,05 - 06,06 - 07,"49,24",
04/01/2018,06 - 07,07 - 08,"53,01",
04/01/2018,07 - 08,08 - 09,"53,01",
04/01/2018,08 - 09,09 - 10,"67,03",
04/01/2018,09 - 10,10 - 11,"72,67",
04/01/2018,10 - 11,11 - 12,"74,42",
04/01/2018,11 - 12,12 - 13,"56,89",
04/01/2018,12 - 13,13 - 14,"50,00",
04/01/2018,13 - 14,14 - 15,"44,10",
04/01/2018,14 - 15,15 - 16,"44,53",
04/01/2018,15 - 16,16 - 17,"44,53",
04/01/2018,16 - 17,17 - 18,"64,10",
04/01/2018,17 - 18,18 - 19,"74,99",
04/01/2018,18 - 19,19 - 20,"64,69",
04/01/2018,19 - 20,20 - 21,"52,01",
04/01/2018,20 - 21,21 - 22,"54,31",
04/01/2018,21 - 22,22 - 23,"52,10",
04/01/2018,22 - 23,23 - 00,"43,59",
05/01/2018,23 - 00,00 - 01,"42,99",
05/01/2018,00 - 01,01 - 02,"45,90",
05/01/2018,01 - 02,02 - 03,"45,42",
05/01/2018,02 - 03,03 - 04,"44,87",
05/01/2018,03 - 04,04 - 05,"44,87",
05/01/2018,04 - 05,05 - 06,"42,94",
05/01/2018,05 - 06,06 - 07,"43,57",
05/01/2018,06 - 07,07 - 08,"46,97",
05/01/2018,07 - 08,08 - 09,"52,02",
05/01/2018,08 - 09,09 - 10,"60,89",
05/01/2018,09 - 10,10 - 11,"64,61",
05/01/2018,10 - 11,11 - 12,"64,82",
05/01/2018,11 - 12,12 - 13,"63,80",
05/01/2018,12 - 13,13 - 14,"62,78",
05/01/2018,13 - 14,14 - 15,"62,86",
05/01/2018,14 - 15,15 - 16,"61,44",
05/01/2018,15 - 16,16 - 17,"52,00",
05/01/2018,16 - 17,17 - 18,"77,68",
05/01/2018,17 - 18,18 - 19,"100,00",
05/01/2018,18 - 19,19 - 20,"71,20",
05/01/2018,19 - 20,20 - 21,"55,10",
05/01/2018,20 - 21,21 - 22,"61,89",
05/01/2018,21 - 22,22 - 23,"52,01",
05/01/2018,22 - 23,23 - 00,"42,81",
06/01/2018,23 - 00,00 - 01,"54,82",
06/01/2018,00 - 01,01 - 02,"54,38",
06/01/2018,01 - 02,02 - 03,"49,43",
06/01/2018,02 - 03,03 - 04,"45,41",
06/01/2018,03 - 04,04 - 05,"43,10",
06/01/2018,04 - 05,05 - 06,"39,99",
06/01/2018,05 - 06,06 - 07,"35,00",
06/01/2018,06 - 07,07 - 08,"39,06",
06/01/2018,07 - 08,08 - 09,"42,59",
06/01/2018,08 - 09,09 - 10,"44,95",
06/01/2018,09 - 10,10 - 11,"49,15",
06/01/2018,10 - 11,11 - 12,"60,06",
06/01/2018,11 - 12,12 - 13,"55,29",
06/01/2018,12 - 13,13 - 14,"54,30",
06/01/2018,13 - 14,14 - 15,"46,07",
06/01/2018,14 - 15,15 - 16,"44,04",
06/01/2018,15 - 16,16 - 17,"44,07",
06/01/2018,16 - 17,17 - 18,"55,00",
06/01/2018,17 - 18,18 - 19,"78,09",
06/01/2018,18 - 19,19 - 20,"68,17",
06/01/2018,19 - 20,20 - 21,"55,10",
06/01/2018,20 - 21,21 - 22,"55,04",
06/01/2018,21 - 22,22 - 23,"50,92",
06/01/2018,22 - 23,23 - 00,"44,42",
07/01/2018,23 - 00,00 - 01,"47,98",
07/01/2018,00 - 01,01 - 02,"50,00",
07/01/2018,01 - 02,02 - 03,"47,00",
07/01/2018,02 - 03,03 - 04,"44,91",
07/01/2018,03 - 04,04 - 05,"42,09",
07/01/2018,04 - 05,05 - 06,"41,31",
07/01/2018,05 - 06,06 - 07,"41,07",
07/01/2018,06 - 07,07 - 08,"41,83",
07/01/2018,07 - 08,08 - 09,"41,42",
07/01/2018,08 - 09,09 - 10,"43,51",
07/01/2018,09 - 10,10 - 11,"49,09",
07/01/2018,10 - 11,11 - 12,"53,06",
07/01/2018,11 - 12,12 - 13,"50,76",
07/01/2018,12 - 13,13 - 14,"55,00",
07/01/2018,13 - 14,14 - 15,"55,00",
07/01/2018,14 - 15,15 - 16,"54,42",
07/01/2018,15 - 16,16 - 17,"48,84",
07/01/2018,16 - 17,17 - 18,"61,10",
07/01/2018,17 - 18,18 - 19,"91,66",
07/01/2018,18 - 19,19 - 20,"66,82",
07/01/2018,19 - 20,20 - 21,"58,93",
07/01/2018,20 - 21,21 - 22,"53,05",
07/01/2018,21 - 22,22 - 23,"48,94",
07/01/2018,22 - 23,23 - 00,"41,92",
08/01/2018,23 - 00,00 - 01,"42,81",
08/01/2018,00 - 01,01 - 02,"42,34",
08/01/2018,01 - 02,02 - 03,"42,50",
08/01/2018,02 - 03,03 - 04,"42,05",
08/01/2018,03 - 04,04 - 05,"42,01",
08/01/2018,04 - 05,05 - 06,"41,42",
08/01/2018,05 - 06,06 - 07,"42,11",
08/01/2018,06 - 07,07 - 08,"48,59",
08/01/2018,07 - 08,08 - 09,"46,56",
08/01/2018,08 - 09,09 - 10,"55,44",
08/01/2018,09 - 10,10 - 11,"59,00",
08/01/2018,10 - 11,11 - 12,"55,10",
08/01/2018,11 - 12,12 - 13,"54,14",
08/01/2018,12 - 13,13 - 14,"55,00",
08/01/2018,13 - 14,14 - 15,"55,00",
08/01/2018,14 - 15,15 - 16,"52,66",
08/01/2018,15 - 16,16 - 17,"46,82",
08/01/2018,16 - 17,17 - 18,"59,18",
08/01/2018,17 - 18,18 - 19,"75,72",
08/01/2018,18 - 19,19 - 20,"63,92",
08/01/2018,19 - 20,20 - 21,"60,00",
08/01/2018,20 - 21,21 - 22,"46,55",
08/01/2018,21 - 22,22 - 23,"53,06",
08/01/2018,22 - 23,23 - 00,"42,39",
09/01/2018,23 - 00,00 - 01,"43,52",
09/01/2018,00 - 01,01 - 02,"44,15",
09/01/2018,01 - 02,02 - 03,"44,82",
09/01/2018,02 - 03,03 - 04,"43,06",
09/01/2018,03 - 04,04 - 05,"43,00",
09/01/2018,04 - 05,05 - 06,"43,03",
09/01/2018,05 - 06,06 - 07,"44,30",
09/01/2018,06 - 07,07 - 08,"55,00",
09/01/2018,07 - 08,08 - 09,"53,52",
09/01/2018,08 - 09,09 - 10,"53,44",
09/01/2018,09 - 10,10 - 11,"54,99",
09/01/2018,10 - 11,11 - 12,"55,66",
09/01/2018,11 - 12,12 - 13,"54,80",
09/01/2018,12 - 13,13 - 14,"54,51",
09/01/2018,13 - 14,14 - 15,"50,74",
09/01/2018,14 - 15,15 - 16,"49,60",
09/01/2018,15 - 16,16 - 17,"50,11",
09/01/2018,16 - 17,17 - 18,"69,98",
09/01/2018,17 - 18,18 - 19,"82,99",
09/01/2018,18 - 19,19 - 20,"66,02",
09/01/2018,19 - 20,20 - 21,"56,10",
09/01/2018,20 - 21,21 - 22,"51,00",
09/01/2018,21 - 22,22 - 23,"54,10",
09/01/2018,22 - 23,23 - 00,"44,15",
10/01/2018,23 - 00,00 - 01,"44,56",
10/01/2018,00 - 01,01 - 02,"46,45",
10/01/2018,01 - 02,02 - 03,"45,99",
10/01/2018,02 - 03,03 - 04,"44,60",
10/01/2018,03 - 04,04 - 05,"44,42",
10/01/2018,04 - 05,05 - 06,"44,48",
10/01/2018,05 - 06,06 - 07,"45,81",
10/01/2018,06 - 07,07 - 08,"57,55",
10/01/2018,07 - 08,08 - 09,"53,46",
10/01/2018,08 - 09,09 - 10,"61,50",
10/01/2018,09 - 10,10 - 11,"58,82",
10/01/2018,10 - 11,11 - 12,"55,00",
10/01/2018,11 - 12,12 - 13,"52,00",
10/01/2018,12 - 13,13 - 14,"51,00",
10/01/2018,13 - 14,14 - 15,"50,00",
10/01/2018,14 - 15,15 - 16,"50,24",
10/01/2018,15 - 16,16 - 17,"56,44",
10/01/2018,16 - 17,17 - 18,"75,94",
10/01/2018,17 - 18,18 - 19,"101,79",
10/01/2018,18 - 19,19 - 20,"87,94",
10/01/2018,19 - 20,20 - 21,"72,45",
10/01/2018,20 - 21,21 - 22,"64,66",
10/01/2018,21 - 22,22 - 23,"53,90",
10/01/2018,22 - 23,23 - 00,"48,00",
11/01/2018,23 - 00,00 - 01,"47,93",
11/01/2018,00 - 01,01 - 02,"45,51",
11/01/2018,01 - 02,02 - 03,"44,16",
11/01/2018,02 - 03,03 - 04,"44,01",
11/01/2018,03 - 04,04 - 05,"43,33",
11/01/2018,04 - 05,05 - 06,"43,03",
11/01/2018,05 - 06,06 - 07,"43,17",
11/01/2018,06 - 07,07 - 08,"48,43",
11/01/2018,07 - 08,08 - 09,"52,55",
11/01/2018,08 - 09,09 - 10,"54,14",
11/01/2018,09 - 10,10 - 11,"60,10",
11/01/2018,10 - 11,11 - 12,"60,08",
11/01/2018,11 - 12,12 - 13,"53,99",
11/01/2018,12 - 13,13 - 14,"55,40",
11/01/2018,13 - 14,14 - 15,"53,10",
11/01/2018,14 - 15,15 - 16,"51,85",
11/01/2018,15 - 16,16 - 17,"61,00",
11/01/2018,16 - 17,17 - 18,"83,89",
11/01/2018,17 - 18,18 - 19,"100,00",
11/01/2018,18 - 19,19 - 20,"81,00",
11/01/2018,19 - 20,20 - 21,"60,10",
11/01/2018,20 - 21,21 - 22,"60,20",
11/01/2018,21 - 22,22 - 23,"56,51",
11/01/2018,22 - 23,23 - 00,"46,91",
12/01/2018,23 - 00,00 - 01,"48,89",
12/01/2018,00 - 01,01 - 02,"45,99",
12/01/2018,01 - 02,02 - 03,"45,89",
12/01/2018,02 - 03,03 - 04,"45,23",
12/01/2018,03 - 04,04 - 05,"44,05",
12/01/2018,04 - 05,05 - 06,"42,57",
12/01/2018,05 - 06,06 - 07,"43,40",
12/01/2018,06 - 07,07 - 08,"48,43",
12/01/2018,07 - 08,08 - 09,"53,06",
12/01/2018,08 - 09,09 - 10,"60,20",
12/01/2018,09 - 10,10 - 11,"61,94",
12/01/2018,10 - 11,11 - 12,"58,50",
12/01/2018,11 - 12,12 - 13,"54,50",
12/01/2018,12 - 13,13 - 14,"52,11",
12/01/2018,13 - 14,14 - 15,"49,12",
12/01/2018,14 - 15,15 - 16,"47,00",
12/01/2018,15 - 16,16 - 17,"48,11",
12/01/2018,16 - 17,17 - 18,"57,51",
12/01/2018,17 - 18,18 - 19,"79,89",
12/01/2018,18 - 19,19 - 20,"60,43",
12/01/2018,19 - 20,20 - 21,"54,92",
12/01/2018,20 - 21,21 - 22,"51,52",
12/01/2018,21 - 22,22 - 23,"44,34",
12/01/2018,22 - 23,23 - 00,"41,39",
13/01/2018,23 - 00,00 - 01,"51,00",
13/01/2018,00 - 01,01 - 02,"48,86",
13/01/2018,01 - 02,02 - 03,"56,01",
13/01/2018,02 - 03,03 - 04,"45,90",
13/01/2018,03 - 04,04 - 05,"42,64",
13/01/2018,04 - 05,05 - 06,"39,82",
13/01/2018,05 - 06,06 - 07,"37,00",
13/01/2018,06 - 07,07 - 08,"40,54",
13/01/2018,07 - 08,08 - 09,"42,32",
13/01/2018,08 - 09,09 - 10,"45,00",
13/01/2018,09 - 10,10 - 11,"53,45",
13/01/2018,10 - 11,11 - 12,"52,10",
13/01/2018,11 - 12,12 - 13,"55,36",
13/01/2018,12 - 13,13 - 14,"58,00",
13/01/2018,13 - 14,14 - 15,"54,55",
