HDR,TEMPERATURE DATA,out_turn,normal,low,high,
TEMP,20180101,7.1,6.1,1.1,8.6,
TEMP,20180102,6.2,6.1,1.1,8.6,
TEMP,20180103,7.4,6.1,1.1,8.6,
TEMP,20180104,8.1,6.1,1.1,8.6,
TEMP,20180105,6.9,6.1,1.1,8.6,
TEMP,20180106,4.9,6.1,1.1,8.6,
TEMP,20180107,3.5,6.1,1.1,8.6,
TEMP,20180108,2.5,6.1,1.7,9.2,
TEMP,20180109,3,6.1,1.7,9.2,
TEMP,20180110,4.4,6.1,1.7,9.2,
TEMP,20180111,4.7,6.1,1.7,9.2,
TEMP,20180112,4.8,6.1,1.7,9.2,
TEMP,20180113,5.3,6.1,1.7,9.2,
TEMP,20180114,5,6.1,1.7,9.2,
TEMP,20180115,7,5.9,1.8,8.4,
TEMP,20180116,6,5.9,1.8,8.4,
TEMP,20180117,5.1,5.9,1.8,8.4,
TEMP,20180118,5.3,5.9,1.8,8.4,
TEMP,20180119,4.5,5.9,1.8,8.4,
TEMP,20180120,3.7,5.9,1.8,8.4,
TEMP,20180121,2.5,5.9,1.8,8.4,
TEMP,20180122,5.1,5.2,1.8,8.3,
TEMP,20180123,8.1,5.2,1.8,8.3,
TEMP,20180124,8.7,5.2,1.8,8.3,
TEMP,20180125,7.9,5.2,1.8,8.3,
TEMP,20180126,6.6,5.2,1.8,8.3,
TEMP,20180127,7.1,5.2,1.8,8.3,
TEMP,20180128,9.3,5.2,1.8,8.3,
TEMP,20180129,9.6,5.5,1.5,8.5,
TEMP,20180130,7,5.5,1.5,8.5,
TEMP,20180131,6.3,5.5,1.5,8.5,
TEMP,20180201,5.8,5.5,1.5,8.5,
TEMP,20180202,5.8,5.5,1.5,8.5,
TEMP,20180203,4.7,5.5,1.5,8.5,
TEMP,20180204,4.2,5.5,1.5,8.5,
TEMP,20180205,3.2,5.5,1.1,8.7,
TEMP,20180206,2.3,5.5,1.1,8.7,
TEMP,20180207,1.9,5.5,1.1,8.7,
TEMP,20180208,3.3,5.5,1.1,8.7,
TEMP,20180209,3.6,5.5,1.1,8.7,
TEMP,20180210,4.3,5.5,1.1,8.7,
TEMP,20180211,4.4,5.5,1.1,8.7,
TEMP,20180212,4.1,5.9,2.8,8.4,
TEMP,20180213,4.1,5.9,2.8,8.4,
TEMP,20180214,3.7,5.9,2.8,8.4,
TEMP,20180215,5.2,5.9,2.8,8.4,
TEMP,20180216,5.3,5.9,2.8,8.4,
TEMP,20180217,5.7,5.9,2.8,8.4,
TEMP,20180218,5.9,5.9,2.8,8.4,
TEMP,20180219,7.4,5.9,2.2,9.2,
TEMP,20180220,7.7,5.9,2.2,9.2,
TEMP,20180221,6.7,5.9,2.2,9.2,
TEMP,20180222,5.1,5.9,2.2,9.2,
TEMP,20180223,3.8,5.9,2.2,9.2,
TEMP,20180224,3.1,5.9,2.2,9.2,
TEMP,20180225,2.8,5.9,2.2,9.2,
TEMP,20180226,1.8,6.5,3.2,9,
TEMP,20180227,0.8,6.5,3.2,9,
TEMP,20180228,-1,6.5,3.2,9,
TEMP,20180301,-2,6.5,3.2,9,
TEMP,20180302,-1.4,6.5,3.2,9,
TEMP,20180303,-0.1,6.5,3.2,9,
TEMP,20180304,2.5,6.5,3.2,9,
TEMP,20180305,4.5,7.8,4.6,10,
TEMP,20180306,5.3,7.8,4.6,10,
TEMP,20180307,5.7,7.8,4.6,10,
TEMP,20180308,5.4,7.8,4.6,10,
TEMP,20180309,5.9,7.8,4.6,10,
TEMP,20180310,8,7.8,4.6,10,
TEMP,20180311,8.3,7.8,4.6,10,
TEMP,20180312,8,8.1,4.5,10.7,
TEMP,20180313,8.2,8.1,4.5,10.7,
TEMP,20180314,8.5,8.1,4.5,10.7,
TEMP,20180315,8.6,8.1,4.5,10.7,
TEMP,20180316,8.6,8.1,4.5,10.7,
TEMP,20180317,4.8,8.1,4.5,10.7,
TEMP,20180318,2.3,8.1,4.5,10.7,
TEMP,20180319,2.1,9.2,5.3,11.1,
TEMP,20180320,3.9,9.2,5.3,11.1,
TEMP,20180321,5.2,9.2,5.3,11.1,
TEMP,20180322,6.9,9.2,5.3,11.1,
TEMP,20180323,8.3,9.2,5.3,11.1,
TEMP,20180324,7.9,9.2,5.3,11.1,
TEMP,20180325,7.7,9.2,5.3,11.1,
TEMP,20180326,7.6,8.2,6.2,11,
TEMP,20180327,7.8,8.2,6.2,11,
TEMP,20180328,6.6,8.2,6.2,11,
TEMP,20180329,6.2,8.2,6.2,11,
TEMP,20180330,6,8.2,6.2,11,
TEMP,20180331,5.4,8.2,6.2,11,
TEMP,20180401,5.3,8.2,6.2,11,
TEMP,20180402,6,8.7,5.6,10.9,
TEMP,20180403,8.3,8.7,5.6,10.9,
TEMP,20180404,8.7,8.7,5.6,10.9,
TEMP,20180405,7.8,8.7,5.6,10.9,
TEMP,20180406,8.4,8.7,5.6,10.9,
TEMP,20180407,9.5,8.7,5.6,10.9,
TEMP,20180408,9.2,8.7,5.6,10.9,
TEMP,20180409,8.7,8.8,6.2,11.1,
TEMP,20180410,8.4,8.8,6.2,11.1,
TEMP,20180411,7.8,8.8,6.2,11.1,
TEMP,20180412,7.4,8.8,6.2,11.1,
TEMP,20180413,7.5,8.8,6.2,11.1,
TEMP,20180414,9.6,8.8,6.2,11.1,
TEMP,20180415,10.6,8.8,6.2,11.1,
TEMP,20180416,11.1,9.8,7,12.5,
TEMP,20180417,12.2,9.8,7,12.5,
TEMP,20180418,14.4,9.8,7,12.5,
TEMP,20180419,16.8,9.8,7,12.5,
TEMP,20180420,15.8,9.8,7,12.5,
TEMP,20180421,15.8,9.8,7,12.5,
TEMP,20180422,15.8,9.8,7,12.5,
TEMP,20180423,13.7,11.1,8.1,13.2,
TEMP,20180424,12.8,11.1,8.1,13.2,
TEMP,20180425,12,11.1,8.1,13.2,
TEMP,20180426,11.2,11.1,8.1,13.2,
TEMP,20180427,9.6,11.1,8.1,13.2,
TEMP,20180428,8.7,11.1,8.1,13.2,
TEMP,20180429,8.2,11.1,8.1,13.2,
TEMP,20180430,7.7,11.3,9.3,15,
TEMP,20180501,9.2,11.3,9.3,15,
TEMP,20180502,9.5,11.3,9.3,15,
TEMP,20180503,10.3,11.3,9.3,15,
TEMP,20180504,12,11.3,9.3,15,
TEMP,20180505,14.2,11.3,9.3,15,
TEMP,20180506,16.2,11.3,9.3,15,
TEMP,20180507,18,12.2,9.8,14.9,
TEMP,20180508,17.6,12.2,9.8,14.9,
TEMP,20180509,16,12.2,9.8,14.9,
TEMP,20180510,14,12.2,9.8,14.9,
TEMP,20180511,13.5,12.2,9.8,14.9,
TEMP,20180512,13,12.2,9.8,14.9,
TEMP,20180513,12.9,12.2,9.8,14.9,
TEMP,20180514,13.8,12.6,10.1,15.4,
TEMP,20180515,15,12.6,10.1,15.4,
TEMP,20180516,13.9,12.6,10.1,15.4,
TEMP,20180517,12.9,12.6,10.1,15.4,
TEMP,20180518,12.8,12.6,10.1,15.4,
TEMP,20180519,14.6,12.6,10.1,15.4,
TEMP,20180520,15.9,12.6,10.1,15.4,
TEMP,20180521,16.7,13.5,11.1,16.8,
TEMP,20180522,16.2,13.5,11.1,16.8,
TEMP,20180523,14.7,13.5,11.1,16.8,
TEMP,20180524,13.6,13.5,11.1,16.8,
TEMP,20180525,13.7,13.5,11.1,16.8,
TEMP,20180526,15,13.5,11.1,16.8,
TEMP,20180527,16.6,13.5,11.1,16.8,
TEMP,20180528,17,14,11.8,17.2,
TEMP,20180529,16.4,14,11.8,17.2,
TEMP,20180530,15.6,14,11.8,17.2,
TEMP,20180531,16.9,14,11.8,17.2,
TEMP,20180601,17.9,14,11.8,17.2,
TEMP,20180602,17.9,14,11.8,17.2,
TEMP,20180603,18.6,14,11.8,17.2,
TEMP,20180604,17.5,14.5,12.5,17.3,
TEMP,20180605,15.3,14.5,12.5,17.3,
TEMP,20180606,15,14.5,12.5,17.3,
TEMP,20180607,15.1,14.5,12.5,17.3,
TEMP,20180608,15.1,14.5,12.5,17.3,
TEMP,20180609,15.3,14.5,12.5,17.3,
TEMP,20180610,15.9,14.5,12.5,17.3,
TEMP,20180611,17.3,15.6,12.8,18.4,
TEMP,20180612,16.4,15.6,12.8,18.4,
TEMP,20180613,17,15.6,12.8,18.4,
TEMP,20180614,16.6,15.6,12.8,18.4,
TEMP,20180615,16.6,15.6,12.8,18.4,
TEMP,20180616,15.9,15.6,12.8,18.4,
TEMP,20180617,15.7,15.6,12.8,18.4,
TEMP,20180618,16.5,16.1,14.3,18.7,
TEMP,20180619,17.1,16.1,14.3,18.7,
TEMP,20180620,17.8,16.1,14.3,18.7,
TEMP,20180621,16.1,16.1,14.3,18.7,
TEMP,20180622,15.9,16.1,14.3,18.7,
TEMP,20180623,16.6,16.1,14.3,18.7,
TEMP,20180624,17.5,16.1,14.3,18.7,
TEMP,20180625,20,16.5,14.8,19.2,
